student_id,gender,race_ethnicity,parental_education,lunch,test_preparation,math_score,reading_score,writing_score,grade
363,male,group D,some college,standard,completed,57,58,48,D
364,male,group A,bachelor's degree,standard,completed,84,77,83,A
365,female,group C,associate's degree,standard,completed,81,91,53,B
366,male,group C,associate's degree,standard,none,78,92,63,B
367,female,group B,high school,free/reduced,none,57,71,62,C
368,female,group B,some college,standard,none,100,86,79,A
369,male,group B,some college,standard,none,76,70,77,B
370,female,group C,some college,standard,none,65,83,73,B
371,female,group A,some college,free/reduced,none,42,48,41,F
372,male,group E,some college,standard,none,59,57,50,D
373,male,group C,some college,free/reduced,none,76,82,68,B
374,male,group D,high school,standard,none,86,93,71,A
375,male,group E,some college,standard,none,82,74,77,B
376,male,group A,high school,standard,none,72,73,71,B
377,female,group D,bachelor's degree,standard,completed,53,64,51,D
378,male,group E,associate's degree,free/reduced,none,64,53,80,C
379,male,group D,high school,standard,completed,48,51,43,F
380,female,group C,associate's degree,free/reduced,none,35,29,54,F
381,female,group C,bachelor's degree,standard,none,69,59,57,C
382,female,group A,high school,free/reduced,none,63,58,63,C
383,female,group C,high school,free/reduced,none,69,73,79,B
384,male,group E,some high school,standard,none,67,64,77,C
385,male,group E,some high school,standard,completed,75,67,68,C
386,female,group A,bachelor's degree,free/reduced,completed,52,55,59,D
387,female,group D,master's degree,standard,none,66,55,69,C
388,female,group C,some high school,free/reduced,none,32,41,32,F
389,male,group E,associate's degree,standard,completed,39,54,49,F
390,female,group A,some high school,standard,none,71,70,87,B
391,female,group E,associate's degree,standard,none,51,51,58,D
392,male,group D,bachelor's degree,free/reduced,completed,80,82,82,A
393,female,group B,some college,free/reduced,none,72,51,76,C
394,female,group A,some high school,standard,completed,58,65,44,D
395,male,group D,associate's degree,free/reduced,none,66,97,69,B
396,male,group B,master's degree,free/reduced,none,53,54,44,D
397,female,group C,high school,standard,none,32,36,32,F
398,male,group E,high school,standard,completed,69,76,89,B
399,male,group C,high school,free/reduced,none,48,67,48,D
400,male,group C,associate's degree,standard,completed,62,72,54,C
401,male,group C,associate's degree,standard,completed,99,73,100,A
402,female,group A,bachelor's degree,free/reduced,completed,44,53,38,F
403,female,group E,bachelor's degree,standard,none,71,96,64,B
404,male,group C,bachelor's degree,free/reduced,none,45,54,60,D
405,female,group B,bachelor's degree,free/reduced,none,74,61,72,C
406,female,group B,high school,free/reduced,none,59,63,44,D
407,male,group E,associate's degree,standard,completed,75,61,77,B
408,female,group A,high school,standard,none,46,61,45,D
409,male,group D,some college,standard,completed,56,48,72,D
410,female,group D,master's degree,standard,none,82,80,72,B
411,female,group D,associate's degree,free/reduced,none,84,73,90,A
412,female,group E,master's degree,standard,none,75,68,90,B
413,male,group D,some college,standard,completed,54,71,47,D
414,female,group E,associate's degree,standard,none,67,68,64,C
415,male,group B,some college,standard,none,96,86,93,A
416,male,group D,high school,standard,completed,69,57,59,C
417,male,group C,high school,standard,none,82,61,80,B
418,female,group C,some college,free/reduced,none,44,35,45,F
419,male,group E,some high school,standard,none,59,61,57,D
420,female,group E,master's degree,free/reduced,none,72,81,70,B
421,female,group D,high school,free/reduced,none,61,56,62,D
422,male,group C,high school,standard,none,49,67,53,D
423,male,group C,bachelor's degree,free/reduced,none,48,44,44,F
424,male,group C,some high school,standard,none,75,71,66,B
425,female,group C,bachelor's degree,standard,none,83,70,77,B
426,female,group C,associate's degree,standard,none,85,92,80,A
427,male,group A,some high school,standard,none,87,100,77,A
428,female,group A,associate's degree,free/reduced,none,59,43,62,D
429,male,group D,associate's degree,free/reduced,none,52,51,35,F
430,female,group C,bachelor's degree,free/reduced,none,80,91,69,B
431,female,group E,bachelor's degree,standard,none,76,60,70,C
432,female,group D,associate's degree,standard,completed,54,62,47,D
433,female,group A,associate's degree,free/reduced,completed,48,63,67,D
434,female,group B,some college,standard,none,67,68,66,C
435,male,group B,associate's degree,standard,none,59,66,61,C
436,male,group E,master's degree,standard,none,68,85,62,B
437,male,group B,associate's degree,standard,completed,85,100,80,A
438,female,group C,associate's degree,standard,none,73,71,58,C
439,female,group E,some college,standard,none,80,73,74,B
440,female,group E,bachelor's degree,standard,none,36,31,31,F
441,female,group B,master's degree,standard,none,72,81,67,B
442,male,group A,high school,standard,none,70,56,42,D
443,female,group B,high school,standard,completed,44,45,36,F
444,male,group A,associate's degree,standard,completed,59,61,74,C
445,male,group B,some college,free/reduced,none,42,41,54,F
446,female,group C,associate's degree,standard,none,62,65,75,C
447,female,group E,some high school,free/reduced,none,79,100,89,A
448,female,group C,some college,free/reduced,none,85,81,87,A
449,male,group D,associate's degree,standard,none,50,48,47,F
450,female,group B,associate's degree,free/reduced,none,65,75,54,C
451,male,group D,associate's degree,free/reduced,completed,72,74,81,B
452,female,group D,associate's degree,standard,completed,75,88,73,B
453,female,group D,associate's degree,standard,completed,75,75,97,A
454,male,group E,bachelor's degree,standard,completed,77,73,70,B
455,male,group C,associate's degree,free/reduced,none,82,62,97,A
456,male,group A,associate's degree,free/reduced,none,74,57,70,C
457,female,group B,associate's degree,free/reduced,none,41,26,58,F
458,male,group C,high school,free/reduced,none,67,71,83,B
459,female,group E,high school,standard,none,73,58,60,C
460,female,group C,some college,free/reduced,completed,67,80,61,C
461,female,group D,bachelor's degree,standard,none,82,80,67,B
462,male,group C,associate's degree,free/reduced,none,60,59,48,D
463,female,group B,some high school,standard,none,63,55,69,C
464,male,group C,associate's degree,standard,completed,71,77,67,B
465,female,group D,high school,free/reduced,none,25,23,33,F
466,female,group D,associate's degree,free/reduced,none,56,48,62,D
467,female,group C,bachelor's degree,standard,none,55,69,37,D
468,female,group B,associate's degree,standard,completed,51,57,66,D
469,male,group D,associate's degree,standard,completed,91,85,81,A
470,female,group B,some college,free/reduced,none,63,70,68,C
471,male,group E,some college,standard,completed,67,67,72,C
472,male,group B,bachelor's degree,standard,none,57,62,71,C
473,male,group B,associate's degree,standard,completed,73,64,69,C
474,male,group C,some college,standard,none,75,94,51,B
475,male,group C,some college,standard,none,48,45,51,F
476,male,group C,some high school,standard,completed,67,83,68,B
477,male,group C,high school,free/reduced,none,68,66,56,C
478,female,group E,high school,free/reduced,none,26,40,34,F
479,female,group C,some college,free/reduced,completed,61,69,57,C
480,male,group C,master's degree,standard,completed,69,80,54,C
481,male,group C,some college,standard,none,58,51,65,D
482,male,group A,high school,free/reduced,none,47,61,44,D
483,female,group C,high school,free/reduced,completed,64,83,59,C
484,male,group B,some college,standard,none,89,83,79,A
485,male,group D,bachelor's degree,free/reduced,completed,62,63,74,C
486,male,group A,some college,free/reduced,none,59,55,59,D
487,male,group E,bachelor's degree,free/reduced,completed,97,89,90,A
488,male,group C,bachelor's degree,free/reduced,none,52,71,49,D
489,female,group E,high school,standard,none,87,74,86,A
490,female,group C,associate's degree,standard,none,62,53,75,C
491,female,group A,master's degree,standard,none,95,100,94,A
492,female,group D,some college,standard,completed,78,83,81,A
493,female,group D,some high school,free/reduced,completed,67,88,72,B
494,male,group D,bachelor's degree,standard,none,64,60,49,D
495,female,group C,bachelor's degree,standard,none,56,59,48,D
496,female,group D,some college,free/reduced,none,56,51,55,D
497,male,group D,associate's degree,free/reduced,none,70,71,61,C
498,female,group D,high school,free/reduced,none,55,39,45,F
499,male,group C,bachelor's degree,standard,completed,67,74,47,C
500,female,group D,some college,free/reduced,completed,58,63,45,D
501,female,group D,some high school,standard,none,75,73,69,B
502,female,group E,associate's degree,standard,none,80,74,75,B
503,female,group C,master's degree,standard,none,58,50,50,D
504,female,group C,bachelor's degree,standard,none,55,64,57,D
505,female,group D,high school,free/reduced,none,61,50,56,D
506,female,group C,some high school,standard,none,83,86,89,A
507,male,group D,master's degree,standard,none,85,100,78,A
508,female,group C,master's degree,free/reduced,none,44,62,54,D
509,female,group B,associate's degree,free/reduced,completed,60,46,62,D
510,male,group D,associate's degree,standard,none,48,45,36,F
511,male,group B,some college,free/reduced,none,51,58,52,D
512,female,group B,some college,free/reduced,none,79,76,63,B
513,male,group D,high school,free/reduced,completed,41,31,44,F
514,male,group D,some high school,free/reduced,none,31,40,29,F
515,male,group E,high school,free/reduced,none,43,46,50,F
516,male,group B,bachelor's degree,free/reduced,none,64,84,50,C
517,male,group B,high school,standard,none,69,66,67,C
518,female,group E,high school,standard,none,67,79,71,B
519,male,group B,associate's degree,standard,completed,87,71,91,A
520,female,group B,high school,free/reduced,none,29,24,28,F
521,female,group C,high school,standard,none,78,84,75,B
522,male,group C,associate's degree,free/reduced,none,52,65,55,D
523,male,group E,some college,standard,completed,78,67,90,B
524,female,group D,associate's degree,standard,completed,49,52,36,F
525,male,group D,bachelor's degree,standard,completed,72,57,60,C
526,male,group B,high school,standard,none,64,63,91,B
527,female,group C,bachelor's degree,standard,completed,89,94,80,A
528,female,group C,bachelor's degree,standard,completed,48,46,31,F
529,female,group B,bachelor's degree,free/reduced,none,60,59,54,D
530,male,group B,associate's degree,standard,none,46,38,21,F
531,female,group C,associate's degree,standard,completed,77,69,76,B
532,female,group B,associate's degree,standard,none,74,90,79,A
