fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality,wine_type
8.67,0.737,0.224,3.26,0.01,20.1,74.9,0.995037,3.271,0.626,10.01,5,red
6.73,0.166,0.278,0.9,0.0647,40.0,183.6,0.997259,3.156,0.567,10.5,6,white
7.62,0.352,0.358,0.9,0.0235,31.8,109.6,0.993235,3.108,0.529,10.33,5,white
8.1,0.285,0.371,6.21,0.0618,68.7,284.5,0.99,2.902,0.38,11.68,6,white
5.28,0.304,0.46,7.02,0.0578,22.5,72.4,0.995408,3.278,0.525,11.09,7,white
10.16,0.684,0.367,2.69,0.1037,36.9,165.4,0.998417,3.287,0.708,10.31,6,red
6.12,0.245,0.489,0.9,0.0625,33.6,118.4,0.992946,3.071,0.548,10.0,6,white
6.92,0.279,0.333,0.96,0.0788,42.7,113.9,0.990828,3.162,0.406,10.34,5,white
5.82,0.228,0.269,1.5,0.0439,56.0,290.0,0.999136,3.115,0.547,10.36,5,white
8.15,0.313,0.266,33.83,0.0567,29.7,149.5,0.991994,3.117,0.636,13.42,6,white
7.18,0.564,0.073,5.42,0.1197,11.2,38.3,0.995019,2.995,0.754,8.65,5,red
7.94,0.55,0.162,8.57,0.1355,5.7,16.6,1.00055,3.319,0.507,9.29,5,red
8.07,0.308,0.411,10.03,0.0838,24.1,113.4,0.995248,3.351,0.59,9.11,5,white
6.79,0.089,0.568,13.85,0.0271,56.4,178.3,0.995163,3.348,0.685,10.72,6,white
6.91,0.522,0.078,1.2,0.1028,19.5,84.2,0.996786,3.451,0.56,10.68,5,red
8.29,0.611,0.574,1.26,0.1095,21.4,103.4,0.999168,3.365,0.568,9.71,5,red
5.7,0.481,0.42,9.65,0.0708,53.8,178.3,0.991559,3.422,0.656,11.48,6,white
7.74,0.99,0.198,3.67,0.0551,19.9,66.6,0.999026,3.312,0.33,10.84,4,red
12.04,0.479,0.346,2.04,0.0556,24.5,65.8,0.998321,3.076,0.596,11.53,7,red
7.31,0.352,0.318,1.7,0.0437,27.7,95.8,0.99,2.892,0.411,11.84,6,white
7.02,0.221,0.26,2.15,0.0318,47.8,205.1,0.992265,3.194,0.573,8.0,5,white
6.02,0.28,0.303,2.07,0.0395,26.8,79.7,0.995228,3.441,0.446,11.22,6,white
7.53,0.348,0.044,8.31,0.0678,47.9,256.7,0.999031,3.607,0.648,8.85,4,white
10.01,0.529,0.0,0.96,0.0226,23.9,111.5,0.997059,3.434,0.815,10.7,5,red
5.55,0.37,0.444,18.96,0.0422,28.6,89.1,0.992935,3.24,0.425,10.31,6,white
6.35,0.287,0.473,1.91,0.0199,66.1,270.5,0.994917,3.281,0.376,10.36,6,white
8.36,0.528,0.499,22.66,0.0215,22.3,82.1,0.996829,3.487,0.45,8.95,5,white
8.32,0.243,0.383,1.34,0.0616,11.0,40.3,0.996296,3.043,0.444,11.64,6,white
7.34,0.673,0.72,5.08,0.0998,22.3,93.1,0.995303,3.406,0.839,8.85,5,red
7.17,0.645,0.032,0.98,0.0746,12.3,34.6,1.000494,2.991,0.949,11.3,6,red
9.35,0.217,0.224,2.9,0.1273,7.7,24.2,0.995415,3.497,0.359,8.68,6,red
7.57,0.387,0.073,4.23,0.0707,21.0,61.8,0.999294,3.235,0.769,10.38,5,red
6.93,0.296,0.494,2.13,0.0613,10.7,32.5,0.992976,3.069,0.58,12.57,6,white
9.81,1.277,0.184,0.9,0.1722,29.3,130.7,0.997713,3.298,0.624,13.23,5,red
7.53,0.235,0.173,9.25,0.018,7.2,39.6,0.992783,2.942,0.472,8.46,5,white
5.55,0.717,0.515,2.18,0.0552,25.0,111.4,0.999167,3.113,0.61,9.55,5,red
6.55,0.624,0.197,1.81,0.017,17.3,94.5,0.998877,3.333,0.561,9.77,4,red
8.51,0.377,0.078,0.9,0.1747,33.3,140.7,0.996864,3.399,0.92,13.11,6,red
5.7,0.709,0.361,0.9,0.0611,17.4,58.3,0.995626,3.003,0.645,10.32,5,red
6.39,0.314,0.332,0.9,0.1232,26.9,137.7,0.995109,3.403,0.33,11.69,6,white
7.17,0.237,0.339,1.29,0.0346,43.7,117.9,0.992749,3.099,0.46,10.76,5,white
10.96,0.301,0.322,3.38,0.0937,8.0,22.4,0.992165,3.416,0.715,8.96,5,red
6.86,0.125,0.405,3.12,0.0275,54.5,290.0,0.994142,2.856,0.474,8.17,5,white
7.44,0.583,0.243,12.3,0.0699,24.2,107.8,0.995659,3.173,0.417,9.66,6,white
5.54,0.428,0.203,0.9,0.0569,34.5,182.4,0.993266,3.248,0.559,13.18,6,white
7.06,0.527,0.473,4.66,0.0971,10.5,30.5,1.001129,3.13,0.565,10.71,6,red
8.04,0.327,0.693,1.78,0.0745,17.1,82.3,0.99262,3.289,0.33,11.67,6,red
5.65,0.281,0.527,2.2,0.0774,21.8,69.8,0.994054,3.131,0.455,8.7,5,white
6.47,0.198,0.101,1.55,0.0747,27.8,98.1,0.996221,3.152,0.374,10.01,6,white
8.07,0.277,0.319,1.23,0.0745,17.4,90.7,0.999791,3.155,0.694,11.33,6,red
7.85,0.221,0.447,15.25,0.0369,40.0,149.3,0.994795,3.299,0.642,9.09,5,white
10.22,0.335,0.415,5.44,0.0859,5.9,26.5,0.997882,3.375,0.648,10.32,5,red
7.62,0.364,0.172,22.48,0.0435,43.6,225.1,0.992645,3.205,0.424,9.34,5,white
7.84,0.649,0.19,4.26,0.1049,20.1,102.8,1.001914,3.474,0.553,11.39,6,red
6.37,0.249,0.338,24.79,0.0698,25.1,63.5,0.991791,3.35,0.45,10.88,6,white
7.51,0.477,0.274,1.14,0.0615,6.5,19.4,0.997411,3.305,0.409,11.22,5,red
9.8,0.864,0.086,9.98,0.1748,12.6,66.4,0.996869,3.218,0.689,11.45,5,red
7.75,0.288,0.326,14.04,0.0401,44.7,187.1,0.997593,3.618,0.372,10.13,5,white
6.38,0.607,0.315,12.39,0.1267,20.4,80.6,0.9986,3.407,0.83,11.6,6,red
5.48,0.319,0.622,4.87,0.0696,38.5,103.7,0.993439,3.341,0.462,9.69,5,white
5.43,0.305,0.301,15.68,0.063,38.7,99.8,0.99,3.047,0.42,11.15,6,white
10.43,0.583,0.249,1.81,0.1406,7.9,42.2,0.9964,2.866,0.423,8.03,5,red
8.72,0.452,0.18,0.9,0.1608,15.1,59.1,0.998331,3.245,0.564,9.5,5,red
8.24,0.167,0.543,2.58,0.0438,36.2,176.1,0.998713,3.038,0.392,13.18,6,white
7.28,0.124,0.133,4.88,0.0599,23.2,73.4,0.99,3.17,0.602,11.13,5,white
6.29,0.269,0.373,2.26,0.0673,48.6,156.2,0.990736,3.47,0.688,11.13,6,white
8.81,0.293,0.327,4.67,0.114,11.3,47.2,0.998825,3.377,0.764,9.41,6,red
7.62,0.142,0.159,7.34,0.046,9.1,46.5,0.99,3.25,0.566,9.09,5,white
5.91,0.307,0.232,4.11,0.0392,31.7,106.6,0.994517,3.24,0.436,10.08,5,white
5.99,0.358,0.368,17.41,0.0757,38.3,133.4,0.995869,3.184,0.417,10.32,6,white
6.68,0.476,0.741,0.9,0.1615,2.1,8.6,0.993913,3.183,0.643,12.7,7,red
7.27,0.489,0.415,2.42,0.0366,1.0,6.0,0.994002,3.388,0.665,11.62,5,red
7.3,0.445,0.537,17.48,0.0229,33.8,122.9,0.990363,3.192,0.535,10.53,5,white
7.75,0.335,0.35,10.22,0.074,34.0,141.9,0.998126,3.356,0.702,10.48,5,white
9.15,0.409,0.417,5.18,0.0427,9.2,23.2,0.997829,3.309,0.607,11.31,6,red
6.8,0.346,0.228,0.9,0.01,12.7,56.1,0.99208,3.2,0.741,8.82,5,white
11.46,0.271,0.0,0.9,0.1472,14.9,39.6,0.998191,3.529,0.483,8.09,5,red
5.18,0.562,0.073,0.9,0.0835,26.1,121.6,0.999542,3.444,0.826,11.29,6,red
9.2,0.739,0.373,2.75,0.1103,7.4,36.4,0.996523,3.292,0.451,10.49,5,red
8.51,0.682,0.0,2.47,0.0865,7.6,38.0,0.997319,3.322,0.687,8.83,5,red
9.72,0.507,0.0,0.9,0.031,15.9,71.9,0.996284,3.462,0.968,8.0,4,red
9.57,0.199,0.372,6.44,0.1913,19.8,83.0,0.996447,3.284,0.847,11.47,6,red
8.25,0.659,0.228,5.61,0.1516,13.2,45.2,0.997039,3.424,0.747,9.77,6,red
6.43,0.258,0.468,10.56,0.0545,51.9,195.8,0.99,3.155,0.535,10.88,6,white
7.3,0.162,0.482,1.07,0.0698,11.5,31.7,0.997857,3.252,0.33,10.08,5,white
8.17,0.329,0.358,1.73,0.013,20.5,94.5,0.992868,3.284,0.542,10.36,5,white
5.68,0.382,0.362,1.55,0.0545,11.6,29.8,0.995793,3.513,0.617,9.69,5,red
5.77,0.118,0.405,4.72,0.0551,43.0,161.0,0.992978,3.328,0.464,10.31,6,white
8.47,0.34,0.168,0.9,0.1016,10.3,41.4,0.997479,3.243,0.726,11.09,6,red
7.41,0.262,0.083,7.38,0.0228,18.3,81.3,0.991811,3.229,0.437,10.07,5,white
6.64,0.296,0.398,4.52,0.0482,7.8,27.7,0.997175,3.31,0.475,10.0,6,white
8.26,0.311,0.136,3.5,0.1872,1.0,6.0,0.991795,3.191,0.633,11.13,6,red
10.45,0.274,0.0,2.2,0.0982,12.6,53.9,1.001593,3.39,0.693,11.21,6,red
7.57,0.397,0.242,4.58,0.0492,29.1,153.5,0.996002,3.171,0.35,9.04,5,white
6.78,0.251,0.357,2.51,0.0342,15.5,70.2,0.992931,3.008,0.434,10.37,6,white
6.15,0.383,0.36,1.3,0.0163,27.7,90.4,0.994155,3.383,0.33,9.77,6,white
7.02,0.292,0.34,0.9,0.0158,41.7,210.2,0.998575,3.131,0.692,10.42,5,white
6.61,0.331,0.344,5.72,0.01,31.0,82.7,0.991978,3.366,0.586,12.12,6,white
7.11,0.394,0.361,0.9,0.1203,18.5,61.5,0.994351,3.276,0.586,10.83,6,red
6.39,0.404,0.355,10.8,0.0581,50.7,143.3,0.995371,3.249,0.483,13.0,6,white
8.41,0.538,0.581,1.02,0.123,22.8,87.7,0.997371,3.273,0.448,10.66,5,red
7.0,0.236,0.476,5.36,0.025,1.8,7.8,0.995102,3.605,0.407,10.2,6,white
6.08,0.562,0.25,2.98,0.1718,13.4,54.8,0.999583,3.174,0.857,10.38,6,red
7.87,0.275,0.309,0.9,0.0605,25.7,126.7,0.990525,3.357,0.601,10.57,7,white
7.17,0.204,0.279,0.9,0.0452,22.3,93.7,0.99218,3.494,0.52,10.79,5,white
8.56,0.399,0.279,0.9,0.1102,23.1,74.0,0.998095,3.421,0.737,9.21,5,red
10.62,0.459,0.516,3.71,0.01,35.0,143.9,0.998767,3.32,0.8,10.12,6,red
6.38,0.902,0.099,1.94,0.0797,33.0,155.1,0.995283,3.624,0.542,9.53,5,red
8.88,0.479,0.388,4.71,0.0806,48.7,195.1,0.995743,3.239,0.44,11.64,6,white
7.05,0.214,0.311,4.04,0.07,35.3,135.0,0.99,2.774,0.489,8.09,5,white
5.46,0.548,0.329,4.32,0.0498,23.4,95.5,0.996733,3.149,0.415,10.59,5,red
7.03,0.32,0.38,5.52,0.0568,47.7,197.5,0.994701,3.224,0.33,8.58,5,white
6.72,0.275,0.499,6.63,0.0208,22.0,75.4,0.996232,3.167,0.407,10.92,6,white
8.44,0.474,0.0,1.04,0.1436,18.0,91.3,0.997337,3.399,0.98,9.92,6,red
7.04,0.28,0.189,2.72,0.0267,32.6,101.8,0.990288,3.168,0.662,8.22,4,white
8.21,0.677,0.329,0.91,0.01,25.3,65.7,0.992959,3.448,0.59,11.53,5,red
7.24,0.856,0.159,0.9,0.0306,25.7,121.2,0.996324,3.18,0.61,8.0,5,red
9.15,0.783,0.336,0.9,0.2246,9.8,49.1,0.998643,3.448,1.004,10.36,5,red
6.43,0.165,0.408,17.12,0.1093,19.6,86.9,0.991346,2.881,0.479,11.23,5,white
10.16,0.521,0.207,3.22,0.0975,1.0,6.0,0.997184,3.219,0.76,12.05,7,red
8.23,0.538,0.091,1.19,0.0885,11.5,62.6,0.996686,3.286,0.619,8.47,5,red
8.13,0.408,0.379,0.9,0.0275,53.0,191.3,0.994581,3.216,0.631,9.78,5,white
6.37,0.443,0.402,2.24,0.097,28.8,107.2,0.992014,3.053,0.341,11.7,6,white
7.57,0.3,0.298,0.9,0.0558,47.2,201.5,0.99732,3.088,0.401,11.78,5,white
6.6,0.567,0.464,2.13,0.0817,12.7,48.2,0.998393,3.527,0.591,11.94,5,red
7.04,0.435,0.259,1.13,0.0405,16.4,68.5,0.994944,3.124,0.544,13.47,7,white
9.29,0.301,0.372,3.02,0.0595,19.0,102.4,0.997574,3.322,0.366,9.79,5,red
6.17,0.285,0.294,17.73,0.0448,72.0,231.3,0.997282,3.18,0.33,10.85,6,white
10.62,0.189,0.273,0.9,0.0752,31.9,93.9,0.99706,3.229,0.674,9.98,5,red
8.74,0.425,0.213,0.9,0.1001,22.4,84.4,0.996434,3.234,0.521,8.03,5,red
8.43,0.429,0.295,2.27,0.0984,10.8,43.5,0.999218,3.079,0.348,10.29,5,red
7.7,0.209,0.184,7.39,0.0592,46.7,216.8,0.993775,3.04,0.681,8.01,5,white
9.65,0.868,0.499,1.95,0.0646,22.9,122.8,0.998437,3.412,0.717,9.78,5,red
8.5,0.633,0.627,1.69,0.1456,17.0,77.8,0.995918,3.299,0.727,8.64,5,red
7.14,0.291,0.307,22.37,0.0686,34.7,189.3,0.992373,3.185,0.659,10.93,6,white
6.84,0.253,0.283,7.82,0.0128,55.4,179.6,0.990441,3.229,0.656,9.47,6,white
5.98,0.733,0.187,0.9,0.0819,27.6,86.2,0.997094,3.511,0.63,8.26,4,red
6.65,0.28,0.355,7.74,0.0499,59.9,204.7,0.992401,3.256,0.33,11.44,6,white
7.27,0.225,0.267,22.1,0.042,54.2,263.6,0.99778,3.423,0.473,9.68,5,white
9.02,0.387,0.0,0.9,0.1109,35.7,109.2,0.995687,3.617,0.856,9.88,6,red
6.54,0.321,0.215,0.9,0.01,8.3,25.6,0.992316,2.995,0.6,9.23,5,white
6.66,0.239,0.294,6.2,0.0875,31.1,116.3,0.994572,2.949,0.33,11.78,6,white
7.12,0.57,0.164,1.43,0.1029,12.9,44.6,0.992707,3.273,0.729,10.72,6,red
9.36,0.485,0.0,0.9,0.091,1.0,6.0,0.996487,3.414,0.793,9.66,4,red
8.33,0.423,0.06,1.42,0.01,15.1,78.1,0.99521,3.173,0.486,8.1,4,red
7.09,0.822,0.344,4.93,0.1236,20.2,58.9,0.99886,3.437,0.577,13.41,6,red
6.29,0.356,0.387,1.84,0.0839,44.0,182.3,0.993389,3.214,0.616,12.78,6,white
6.58,0.103,0.396,12.9,0.019,30.3,83.8,0.996567,3.255,0.54,12.13,7,white
7.33,0.437,0.329,14.07,0.0182,43.8,138.7,0.99,3.134,0.596,9.56,5,white
8.56,0.246,0.0,8.45,0.1175,21.5,73.5,0.996334,3.192,0.938,9.8,5,red
8.31,0.38,0.541,2.64,0.142,4.7,20.1,0.996695,3.012,0.627,10.88,6,red
8.27,0.411,0.346,1.32,0.111,16.7,69.4,0.997553,3.533,0.654,9.33,5,red
7.82,0.209,0.318,0.9,0.01,66.1,290.0,0.996892,2.936,0.569,9.21,5,white
6.54,0.464,0.171,0.9,0.1315,26.2,129.8,0.995883,3.411,1.004,12.15,6,red
6.36,0.177,0.501,3.57,0.0668,52.0,159.3,0.997854,3.38,0.569,10.33,6,white
7.2,0.255,0.375,7.86,0.0656,54.3,256.8,0.996011,3.121,0.442,9.06,6,white
6.97,0.949,0.488,6.68,0.0578,16.8,75.8,0.992884,3.197,0.504,11.54,5,red
6.15,0.222,0.297,2.85,0.0564,47.1,129.0,0.994622,3.233,0.385,9.71,6,white
5.54,0.341,0.346,20.53,0.0279,30.4,107.4,0.995041,3.092,0.435,8.02,4,white
5.18,0.043,0.322,3.15,0.0386,34.0,87.8,0.99143,3.422,0.53,9.04,5,white
6.86,0.241,0.363,2.12,0.0221,29.5,81.7,0.992845,3.351,0.573,9.78,5,white
7.64,0.874,0.252,0.9,0.1324,1.0,6.0,0.999562,3.317,0.696,10.66,5,red
5.85,0.263,0.163,0.9,0.0397,33.1,106.9,0.992725,3.164,0.363,10.61,6,white
4.9,0.58,0.346,5.88,0.0912,19.9,103.4,0.996057,3.446,1.009,11.87,6,red
6.92,0.214,0.285,4.78,0.0283,27.4,142.0,0.994885,3.016,0.383,10.12,6,white
5.69,0.457,0.379,0.9,0.1074,1.0,6.0,0.996404,3.413,0.544,9.84,5,red
7.1,0.179,0.287,12.25,0.0881,16.6,78.3,0.997206,3.313,0.662,11.89,6,white
5.95,0.386,0.478,4.07,0.034,27.0,148.3,0.995597,3.178,0.637,11.57,6,white
11.76,0.536,0.355,2.06,0.01,31.8,118.6,0.998866,3.073,0.735,10.14,5,red
11.02,0.068,0.201,2.63,0.0556,18.8,76.3,0.997836,2.998,0.78,10.75,7,red
6.36,0.047,0.468,14.91,0.0749,55.5,247.0,0.994239,3.09,0.631,9.83,6,white
9.03,0.514,0.373,2.5,0.1259,1.0,6.0,0.997958,3.432,0.492,9.01,6,red
6.88,0.399,0.186,5.58,0.0352,26.9,131.7,0.997479,2.989,0.377,13.04,6,white
6.0,0.342,0.332,4.52,0.0354,17.8,48.0,0.99132,3.382,0.33,9.75,5,white
7.68,0.423,0.157,3.38,0.1562,12.8,59.6,0.99716,3.201,0.626,10.75,5,red
6.47,0.217,0.363,3.55,0.01,33.0,107.5,0.99069,3.219,0.492,8.58,6,white
8.18,0.277,0.397,1.26,0.0269,33.6,109.6,1.001454,3.13,0.492,11.28,6,white
5.1,0.16,0.163,14.4,0.0424,39.5,163.4,0.995322,3.014,0.33,8.95,5,white
9.8,0.765,0.33,6.57,0.0829,24.9,114.4,0.995851,3.288,0.33,12.41,6,red
5.6,0.975,0.273,5.07,0.1484,1.0,6.0,0.995412,3.575,0.785,12.56,5,red
8.61,0.664,0.093,1.61,0.1848,1.0,6.0,0.997601,3.176,0.547,11.08,5,red
